"name","essround","edition","proddate","idno","cntry","dweight","pspwght","pweight","anweight","prob","stratum","psu","nwspol","netusoft","netustm","ppltrst","pplfair","pplhlp","gndr","yrbrn","agea","atncrse"
"ESS9e03_1",9,"3.1","17.02.2021",9,"DE",0.99946624,1.275009,3.037345,3.872642,0.00012220745,336,5856,8,5,480,5,5,5,2,1992,26,2
"ESS9e03_1",9,"3.1","17.02.2021",10,"DE",0.99946624,0.8540229,3.037345,2.5939622,0.00012220745,284,5755,60,1,6666,7,8,5,2,1953,65,2
"ESS9e03_1",9,"3.1","17.02.2021",64,"DE",0.99946624,0.75969493,3.037345,2.3074555,0.00012220745,307,5798,120,3,6666,7,7,5,2,1944,74,2
"ESS9e03_1",9,"3.1","17.02.2021",65,"DE",0.99946624,1.0794106,3.037345,3.278542,0.00012220745,338,5861,300,2,6666,7,6,3,1,1954,64,2
"ESS9e03_1",9,"3.1","17.02.2021",91,"DE",0.99946624,1.2697877,3.037345,3.8567832,0.00012220745,297,5779,0,5,60,5,6,6,2,1965,54,2
"ESS9e03_1",9,"3.1","17.02.2021",119,"DE",0.99946624,1.275009,3.037345,3.872642,0.00012220745,323,5831,30,5,30,3,6,5,2,1998,20,2
"ESS9e03_1",9,"3.1","17.02.2021",150,"DE",0.99946624,0.9422759,3.037345,2.862017,0.00012220745,320,5825,60,4,90,3,4,4,2,1947,71,2
"ESS9e03_1",9,"3.1","17.02.2021",212,"DE",0.99946624,1.4220028,3.037345,4.319113,0.00012220745,295,5775,30,5,300,6,5,5,1,1977,41,2
"ESS9e03_1",9,"3.1","17.02.2021",255,"DE",0.99946624,1.2261274,3.037345,3.7241716,0.00012220745,294,5774,60,4,20,7,7,8,1,1956,62,2
"ESS9e03_1",9,"3.1","17.02.2021",270,"DE",0.99946624,0.97831357,3.037345,2.9714756,0.00012220745,278,5742,30,1,6666,8,9,9,1,1953,65,2
"ESS9e03_1",9,"3.1","17.02.2021",279,"DE",0.99946624,1.0877867,3.037345,3.3039832,0.00012220745,341,5868,30,1,6666,8,7,6,2,1951,67,7
"ESS9e03_1",9,"3.1","17.02.2021",304,"DE",0.99946624,0.9841161,3.037345,2.9891,0.00012220745,303,5792,60,5,240,5,6,6,2,1971,47,1
"ESS9e03_1",9,"3.1","17.02.2021",311,"DE",0.99946624,0.5348688,3.037345,1.624581,0.00012220745,350,5884,60,5,60,10,10,8,1,1952,67,2
"ESS9e03_1",9,"3.1","17.02.2021",318,"DE",0.99946624,0.89372134,3.037345,2.71454,0.00012220745,298,5781,45,5,150,3,6,4,1,1970,48,2
"ESS9e03_1",9,"3.1","17.02.2021",372,"DE",0.99946624,0.97831357,3.037345,2.9714756,0.00012220745,290,5766,150,5,210,10,8,8,1,1949,69,2
"ESS9e03_1",9,"3.1","17.02.2021",385,"DE",0.99946624,0.5446976,3.037345,1.6544344,0.00012220745,314,5813,30,5,120,7,6,7,2,1958,60,2
"ESS9e03_1",9,"3.1","17.02.2021",451,"DE",0.99946624,0.67560714,3.037345,2.0520518,0.00012220745,322,5829,60,2,6666,5,6,7,2,1954,64,2
"ESS9e03_1",9,"3.1","17.02.2021",458,"DE",0.99946624,2.6125963,3.037345,7.9353557,0.00012220745,289,5762,60,5,330,0,5,0,2,1975,44,2
"ESS9e03_1",9,"3.1","17.02.2021",476,"DE",0.99946624,0.77601683,3.037345,2.3570306,0.00012220745,338,5861,60,4,90,3,5,5,1,1967,51,2
"ESS9e03_1",9,"3.1","17.02.2021",506,"DE",0.99946624,0.8983614,3.037345,2.7286334,0.00012220745,335,5843,45,3,6666,5,10,8,2,1944,74,2
"ESS9e03_1",9,"3.1","17.02.2021",515,"DE",0.99946624,0.5446976,3.037345,1.6544344,0.00012220745,314,5812,15,4,30,5,8,8,2,1952,66,2
"ESS9e03_1",9,"3.1","17.02.2021",533,"DE",0.99946624,1.1190791,3.037345,3.3990293,0.00012220745,286,5757,10,4,45,2,3,5,1,1975,44,2
"ESS9e03_1",9,"3.1","17.02.2021",564,"DE",0.99946624,1.1023202,3.037345,3.3481266,0.00012220745,352,5890,30,2,6666,3,2,3,2,1942,76,2
"ESS9e03_1",9,"3.1","17.02.2021",570,"DE",0.99946624,1.2423602,3.037345,3.7734766,0.00012220745,356,5722,30,2,6666,3,4,4,2,1993,26,2
"ESS9e03_1",9,"3.1","17.02.2021",589,"DE",0.99946624,1.2460984,3.037345,3.7848306,0.00012220745,345,5877,120,1,6666,2,5,5,1,1939,79,2
